Target,Buyer,Seller,EUR Value (m),Announced,Completed,Revenue,EBITDA,EBIT,Earnings,Summary
Brand Architekts Group plc,Warpaint London plc,,16.49,05/12/2024,,16.49,0.4x,-,-,"Target Description: Online tour operator. | Deal Description: Wirtualna Polska Holding SA, the Poland based content company focused on publishing online news and various content is to acquire through its subsidiary Wirtualna Polska Media SA - INVIA.CZ as, the Czechia based online tour operator from Rockaway Capital SE, the venture capital firm. The consideration was EUR 239.7m ($249.64m), which consist of EUR 186.6m paid in cash, EUR 53.1m paid in assumption liability. The transaction provides an exit strategy for Rockaway Capital SE. Completion of the transaction is subject to regulatory approval."
Indra Sistemas SA,Escribano Mechanical & Engineering Ltd.,,185.42,04/12/2024,04/12/2024,185.42,0.6x,7.0x,7.8x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
INEOS Composites US LLC,KPS Capital Partners LP,INEOS Group Ltd,"1,700.00",03/12/2024,,"1,700.00",2.1x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Copenhagen Airports A/S,Kingdom of Denmark,"Ontario Teachers' Pension Plan
Arbejdsmarkedets Tillaegspension - ATP","3,581.94",02/12/2024,,"3,581.94",8.3x,18.8x,35.2x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Lafarge Africa plc,Huaxin Cement Co Ltd,Holcim Ltd,945.97,01/12/2024,,945.97,2.9x,9.3x,11.3x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Cicor Technologies SA,One Equity Partners LLC,,241.17,29/11/2024,,241.17,0.6x,5.6x,10.8x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Shoper SA,cyber_Folks SA,"Value4Capital
Modhaus Ltd
K&K Family Foundation
R&E Family Foundation
KFF Holding",127.31,29/11/2024,,127.31,6.8x,25.2x,30.6x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Penneo A/S,"Visma AS
Visma Danmark Holding A/S","Viking Venture AS
Danica Pension A/S
Bankinvest Holding A/S",75.04,29/11/2024,,75.04,5.8x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Hummingbird Resources Plc,"Nioko Resources Corp
CIG SA",,264.66,28/11/2024,07/01/2025,264.66,2.4x,32.8x,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Renewi plc,"Macquarie Infrastructure & Real Assets (Europe) Ltd
Macquarie Infrastructure & Real Assets Holdings Pty Ltd",,"1,501.76",28/11/2024,,"1,501.76",1.7x,-,35.0x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Loungers plc,Fortress Investment Group LLC,Lion Capital LLP,599.34,28/11/2024,,599.34,1.4x,10.2x,24.6x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Direct Line Insurance Group plc,Aviva plc,,"4,263.63",27/11/2024,,"4,263.63",0.8x,10.5x,23.4x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Skarebo Energi AB,Sustainion Group AB,,6.78,26/11/2024,03/12/2024,6.78,0.4x,-,11.9x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Vital SpA,Bufab AB,,42.90,26/11/2024,26/11/2024,42.90,0.9x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Poseida Therapeutics Inc,"Roche Holding AG
Roche Holdings Inc",,"1,390.14",26/11/2024,,"1,390.14",14.7x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Banco BPM SpA,UniCredit SpA,,"10,007.79",25/11/2024,,"10,007.79",2.1x,4.4x,4.8x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Brightcove Inc,Bending Spoons SpA,,231.93,25/11/2024,,231.93,1.2x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Benchmark Genetics Ltd,"Novo Holdings A/S
Starfish Bidco AS",Benchmark Holdings plc,311.83,25/11/2024,,311.83,4.6x,17.9x,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
OTRS AG,Easyvista SA,,24.46,22/11/2024,20/12/2024,24.46,2.6x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Heeros Oyj,"Accountor Oy
Accountor Finago Oy",,31.93,22/11/2024,,31.93,2.8x,22.9x,36.2x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
National World plc,Media Concierge Holdings Ltd,,53.45,22/11/2024,,53.45,0.5x,4.2x,5.3x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Probi AB,Symrise AG,"Fjarde AP- fonden
Moneta Asset Management",104.35,20/11/2024,,104.35,5.7x,38.2x,894.8x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Nanoscribe GmbH,"RAG-Stiftung
Labs14 GmbH",BICO Group AB,25.41,19/11/2024,02/12/2024,25.41,1.2x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Aino Health AB,"Nexit Ventures Oy
Tenendum Oy",,1.11,19/11/2024,19/11/2024,1.11,1.1x,-,-,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Surteco Group SE,Banasino Investments Sarl,,537.26,19/11/2024,,537.26,0.7x,7.6x,28.6x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Kagerer & Co GmbH,"Takara Holdings Inc
Takara Shuzo International Co., Ltd.",,111.24,19/11/2024,22/11/2024,111.24,1.2x,-,14.3x,"Target Description: Provider of IT consulting, system design and data management services. | Deal Description: Escribano Mechanical & Engineering Ltd, the Spain based designer and manufacturer of complex defense systems has acquired 11,129,187 shares or 6.3% of Indra Sistemas SA, the local provider of IT consulting, system design and data management services. The consideration was €185.42m ($194.86m) based on the offer price of EUR 16.66 per Indra Sistemas SA share."
Berry Global Group Inc,Amcor plc,,"16,714.85",19/11/2024,,"16,714.85",1.5x,8.9x,15.7x,"Target Description: Manufacturer of plastic packaging including plastic containers, tubes, drink cups, bottles, closures, dispensing caps, industrial buckets, consumer products, prescription vials, and overcaps. | Deal Description: Amcor plc, the Switzerland based packaging company supplying rigid and flexible packaging products for the food & beverage, healthcare, home & personal care and tobacco industries is to acquire Berry Global Group Inc, the United States based manufacturer of plastic packaging including plastic containers, tubes, drink cups, bottles, closures, dispensing caps, industrial buckets, consumer products, prescription vials, and overcaps. The consideration was $8.7633bn based on exchange ratio of 7.25 shares of Amcor to be issued for every 1 Berry Global share & 1-day prior price of Amcor of $10.15. The transaction values Berry Global at $17.6893bn including net debt. The transaction is subject to approval by shareholders of Amcor & Berry Global, regulatory approvals, customary closing conditions & is expected to complete in mid-2025. 09 Dec 24 - The transaction will need to be notified to China's merger control regulator, the State Administration for Market Regulation (SAMR)."
Grifols SA,"Existing Management
Brookfield Capital Partners Ltd",,"13,728.07",19/11/2024,,"13,728.07",2.3x,12.7x,18.1x,"Target Description: Manufacturer of plastic packaging including plastic containers, tubes, drink cups, bottles, closures, dispensing caps, industrial buckets, consumer products, prescription vials, and overcaps. | Deal Description: Amcor plc, the Switzerland based packaging company supplying rigid and flexible packaging products for the food & beverage, healthcare, home & personal care and tobacco industries is to acquire Berry Global Group Inc, the United States based manufacturer of plastic packaging including plastic containers, tubes, drink cups, bottles, closures, dispensing caps, industrial buckets, consumer products, prescription vials, and overcaps. The consideration was $8.7633bn based on exchange ratio of 7.25 shares of Amcor to be issued for every 1 Berry Global share & 1-day prior price of Amcor of $10.15. The transaction values Berry Global at $17.6893bn including net debt. The transaction is subject to approval by shareholders of Amcor & Berry Global, regulatory approvals, customary closing conditions & is expected to complete in mid-2025. 09 Dec 24 - The transaction will need to be notified to China's merger control regulator, the State Administration for Market Regulation (SAMR)."
