Fonds,Pays / Info,Secteurs,Position,Véhicules,Catégorie,Géographie d'investissement,HQ,Bureaux,"Ticket 
(m€)","Ticket Min 
(m€)","Ticket Max
(m€)",Type d'investissement,Contact,Contact qualifié (Oui/Non),Appétence pour secteur,Thèse d'investissement (VE/EBITDA cible),Approché dans Opérations D&A ,Sources,Plaquette ,Commentaires
Angleterre - PE specialist,"Tous secteurs, Immobilier, Energie et Environnement, Technologie","FORESIGHT GROUP |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  0 - 25 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni 2 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  0 - 25 M€ Secteur:  Immobilier Zones géographiques:  Royaume-Uni 3 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  0 - 25 M€ Secteur:  Energie et Environnement Zones géographiques:  Europe 4 (Venture) Ticket unitaire:  1 - 5 M€    VE:  0 - 10 M€ Secteur:  Technologie Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Internet et e-commerce, , , , Tous secteurs","OMNES CAPITAL |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  8 - 25 M€    VE:  25 - 180 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Mezzanine) Ticket unitaire:  2 - 8 M€    VE:  5 - 25 M€ Secteur:  Tous secteurs Zones géographiques:  France 4 (Minoritaire) Ticket unitaire:  5 - 200 M€    VE:  50 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique du Nord 5 (Venture) Ticket unitaire:  2 - 10 M€    VE:  0 - 0 M€ Secteur:  Internet et e-commerce    Santé    Technologie    Média Zones géographiques:  Europe de l'Ouest 6 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 15 M€    VE:  8 - 40 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Tous secteurs",SMALT CAPITAL |  France - PE specialist 1 (Minoritaire) Ticket unitaire:  0 - 3 M€    VE:  0 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Minoritaire) Ticket unitaire:  1 - 5 M€    VE:  0 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  France 3 (Minoritaire) Ticket unitaire:  0 - 5 M€    VE:  0 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    France 4 (Minoritaire) Ticket unitaire:  1 - 5 M€    VE:  0 - 2 M€ Secteur:  Tous secteurs Zones géographiques:  France,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Tous secteurs","THE RIVERSIDE COMPANY |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  20 - 90 M€    VE:  45 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 2 (Majoritaire) Ticket unitaire:  20 - 25 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord 3 (Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  5 - 20 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord 4 (Majoritaire) Ticket unitaire:  10 - 20 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Japon    Corée du Sud    Australie    Chine",,,,,,,,,,,,,,,,,,
France - Bank - PE dept,"Tous secteurs, Telecom, Internet et e-commerce, , , Telecom, Internet et e-commerce, , ","ARKEA CAPITAL |  France - Bank - PE dept 1 (Minoritaire) Ticket unitaire:  1 - 70 M€    VE:  5 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Venture, Minoritaire, Venture (Seed), Venture (Serie A)) Ticket unitaire:  0 - 1 M€    VE:  0 - 10 M€ Secteur:  Telecom    Internet et e-commerce    Technologie    Média Zones géographiques:  France 3 (Venture (Growth), Venture, Minoritaire, Venture (Serie B/C)) Ticket unitaire:  1 - 5 M€    VE:  5 - 50 M€ Secteur:  Telecom    Internet et e-commerce    Technologie    Média Zones géographiques:  France",,,,,,,,,,,,,,,,,,
France - Bank - PE dept,Tous secteurs,OUEST CROISSANCE |  France - Bank - PE dept 1 (Minoritaire) Ticket unitaire:  0 - 10 M€    VE:  10 - 250 M€ Secteur:  Tous secteurs Zones géographiques:,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs","TA ASSOCIATES MANAGEMENT |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  35 - 350 M€    VE:  90 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest    Amérique du Nord    Asie 2 (Minoritaire, Majoritaire) Ticket unitaire:  35 - 350 M€    VE:  90 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Inde    Amérique du Nord 3 (Mezzanine) Ticket unitaire:  35 - 350 M€    VE:  90 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
France - PE specialist,"Santé, Industrie, Telecom, , , , , Tous secteurs, Tous secteurs, Telecom, Internet et e-commerce, , , ","M CAPITAL |  France - PE specialist 1 (Venture) Ticket unitaire:  0 - 2 M€    VE:  0 - 0 M€ Secteur:  Santé Zones géographiques:  France 2 (Minoritaire) Ticket unitaire:  0 - 2 M€    VE:  2 - 40 M€ Secteur:  Industrie    Telecom    Internet et e-commerce    Santé    Technologie    Média Zones géographiques:  Europe 4 (Mezzanine, Minoritaire) Ticket unitaire:  1 - 6 M€    VE:  5 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 5 (Minoritaire) Ticket unitaire:  0 - 5 M€    VE:  2 - 25 M€ Secteur:  Tous secteurs Zones géographiques:  France 6 (Venture (Serie A)) Ticket unitaire:  1 - 3 M€    VE:  1 - 20 M€ Secteur:  Telecom    Internet et e-commerce    Technologie    Divertissement / Loisir / Restauration    Média Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Finlande - PE specialist,"Santé, Technologie, , Santé, Technologie, , Santé, Technologie, ","FINNISH INDUSTRY INVESTMENT (TESI) |  Finlande - PE specialist 1 (Venture (Growth), Venture (Serie B/C), Venture (Serie A)) Ticket unitaire:  3 - 25 M€    VE:  0 - 0 M€ Secteur:  Santé    Technologie    Energie et Environnement Zones géographiques:  Danemark    Finlande    Suède 2 (Minoritaire) Ticket unitaire:  5 - 20 M€    VE:  15 - 300 M€ Secteur:  Santé    Technologie    Energie et Environnement Zones géographiques:  Danemark    Finlande    Suède 3 (Minoritaire) Ticket unitaire:  5 - 20 M€    VE:  100 - 500 M€ Secteur:  Santé    Technologie    Energie et Environnement Zones géographiques:  Danemark    Finlande    Suède",,,,,,,,,,,,,,,,,,
Norvège - PE specialist,"Internet et e-commerce, , Internet et e-commerce, ","VERDANE CAPITAL |  Norvège - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  0 - 50 M€    VE:  10 - 300 M€ Secteur:  Internet et e-commerce    Technologie Zones géographiques:  Europe du Nord    Scandinavie 2 (Venture) Ticket unitaire:  0 - 50 M€    VE:  0 - 0 M€ Secteur:  Internet et e-commerce    Technologie Zones géographiques:  Europe du Nord    Scandinavie",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,"Tous secteurs, Tous secteurs",PMV INVESTMENT |  Belgique - PE specialist 1 (Venture) Ticket unitaire:  1 - 20 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Belgique 2 (Minoritaire) Ticket unitaire:  1 - 60 M€    VE:  0 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Belgique,,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Technologie, Tous secteurs","CAPZA |  France - PE specialist 1 (Mezzanine, Majoritaire, Minoritaire) Ticket unitaire:  8 - 40 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 2 (Mezzanine, Unitranche) Ticket unitaire:  20 - 150 M€    VE:  80 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 3 (Mezzanine, Majoritaire, Minoritaire) Ticket unitaire:  5 - 20 M€    VE:  15 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 4 (Minoritaire) Ticket unitaire:  7 - 30 M€    VE:  20 - 200 M€ Secteur:  Technologie Zones géographiques:  France 5 (Unitranche) Ticket unitaire:  10 - 25 M€    VE:  80 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Tous secteurs, Tous secteurs","ADVENT INTERNATIONAL CORPORATION |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  45 - 250 M€    VE:  45 - 900 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique    Asie    Europe 2 (Majoritaire, Minoritaire) Ticket unitaire:  90 - 900 M€    VE:  900 - 3 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique    Asie    Europe",,,,,,,,,,,,,,,,,,
France - Bank - PE dept,Tous secteurs,CREDIT AGRICOLE REGIONS INVESTISSEMENT (CARVEST) |  France - Bank - PE dept 1 (Minoritaire) Ticket unitaire:  0 - 10 M€    VE:  2 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  France,,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Tous secteurs","INTERMEDIATE CAPITAL GROUP (ICG) |  Angleterre - PE specialist 1 (Mezzanine, Unitranche, Minoritaire) Ticket unitaire:  10 - 450 M€    VE:  250 - 900 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 2 (Mezzanine, Unitranche, Minoritaire) Ticket unitaire:  10 - 450 M€    VE:  150 - 900 M€ Secteur:  Tous secteurs Zones géographiques:  Asie 3 (Minoritaire) Ticket unitaire:  10 - 450 M€    VE:  150 - 900 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis    Europe 4 (Retournement) Ticket unitaire:  10 - 450 M€    VE:  0 - 900 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis    Europe",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs","IXO PRIVATE EQUITY |  France - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  2 - 40 M€    VE:  10 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Venture (Serie A), Venture (Serie B/C), Venture (Growth)) Ticket unitaire:  2 - 5 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
France - Bank - PE dept,"Tous secteurs, Tous secteurs, Tous secteurs, Automobile, Energie et Environnement, , ",BPIFRANCE INVESTISSEMENT |  France - Bank - PE dept 1 (Minoritaire) Ticket unitaire:  7 - 20 M€    VE:  25 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Minoritaire) Ticket unitaire:  100 - 2 000 M€    VE:  1 000 - 40 000 M€ Secteur:  Tous secteurs Zones géographiques:  France 3 (Minoritaire) Ticket unitaire:  15 - 300 M€    VE:  100 - 4 000 M€ Secteur:  Tous secteurs Zones géographiques:  France 4 (Minoritaire) Ticket unitaire:  3 - 50 M€    VE:  10 - 1 000 M€ Secteur:  Automobile Zones géographiques:  France 5 (Minoritaire) Ticket unitaire:  2 - 10 M€    VE:  5 - 100 M€ Secteur:  Energie et Environnement    Technologie    Transport et Logistique Zones géographiques:  France,,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs","NCI |  France - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  4 - 15 M€    VE:  15 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Venture) Ticket unitaire:  0 - 2 M€    VE:  0 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
France - Bank - PE dept,Tous secteurs,"SOCIETE GENERALE CAPITAL PARTENAIRES (SGCP) |  France - Bank - PE dept 1 (Majoritaire, Minoritaire) Ticket unitaire:  1 - 35 M€    VE:  10 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Tous secteurs, Tous secteurs","BRIDGEPOINT |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  60 - 300 M€    VE:  200 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 2 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 60 M€    VE:  15 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni    Europe du Nord    France",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs","AMUNDI PEF |  France - PE specialist 1 (Minoritaire) Ticket unitaire:  2 - 10 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Minoritaire) Ticket unitaire:  10 - 30 M€    VE:  30 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Italie    Allemagne    Belgique    France    Espagne 3 (Venture (Serie A), Venture (Serie B/C), Venture (Growth)) Ticket unitaire:  2 - 10 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
France - Bank - PE dept,"Tous secteurs, Technologie","UNEXO |  France - Bank - PE dept 1 (Unitranche, Minoritaire) Ticket unitaire:  0 - 15 M€    VE:  5 - 15 M€ Secteur:  Tous secteurs Zones géographiques:  2 (Venture) Ticket unitaire:  0 - 2 M€    VE:  1 - 5 M€ Secteur:  Technologie Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Etats-Unis - Bank - PE dept,Tous secteurs,"MORGAN STANLEY PRIVATE EQUITY |  Etats-Unis - Bank - PE dept 1 (Majoritaire, Minoritaire) Ticket unitaire:  40 - 100 M€    VE:  80 - 800 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord    Asie    Europe",,,,,,,,,,,,,,,,,,
France - PE specialist,"Divertissement / Loisir / Restauration, , Agroalimentaire, Agroalimentaire, Agroalimentaire","UNIGRAINS |  France - PE specialist 1 (Mezzanine, Majoritaire, Minoritaire) Ticket unitaire:  1 - 100 M€    VE:  1 - 2 000 M€ Secteur:  Divertissement / Loisir / Restauration    Agroalimentaire Zones géographiques:  Italie    Europe du Nord    France    Espagne 2 (Minoritaire) Ticket unitaire:  3 - 6 M€    VE:  1 - 200 M€ Secteur:  Agroalimentaire Zones géographiques:  Italie 3 (Venture) Ticket unitaire:  0 - 1 M€    VE:  0 - 0 M€ Secteur:  Agroalimentaire Zones géographiques:  France 4 (Minoritaire) Ticket unitaire:  3 - 6 M€    VE:  1 - 200 M€ Secteur:  Agroalimentaire Zones géographiques:  Espagne",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,"Santé, Biens de consommation, , Internet et e-commerce, , , , , , , , , , , , , , , Santé, Technologie, Santé","GIMV |  Belgique - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  3 - 30 M€    VE:  10 - 150 M€ Secteur:  Santé Zones géographiques:  Pays-Bas    Luxembourg    Belgique    Allemagne    France 2 (Majoritaire, Minoritaire) Ticket unitaire:  3 - 30 M€    VE:  10 - 150 M€ Secteur:  Biens de consommation    Agroalimentaire Zones géographiques:  Pays-Bas    Belgique    Allemagne    France 3 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 50 M€    VE:  75 - 750 M€ Secteur:  Internet et e-commerce    Automobile    Biens de consommation    Santé    BTP / Construction    Aéronautique et Défense    Energie et Environnement    Technologie    Distribution aux Particuliers / Entreprises    Services aux Particuliers / Entreprises    Industrie    Telecom    Divertissement / Loisir / Restauration    Transport et Logistique    Agroalimentaire Zones géographiques:  Pays-Bas    Belgique    Allemagne    France 4 (Venture) Ticket unitaire:  3 - 50 M€    VE:  0 - 0 M€ Secteur:  Santé    Technologie Zones géographiques:  Allemagne    France    Benelux 5 (Venture (Serie A), Venture (Serie B/C)) Ticket unitaire:  10 - 15 M€    VE:  0 - 0 M€ Secteur:  Santé Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Tous secteurs, Internet et e-commerce, , , ","APAX PARTNERS |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  300 - 2 000 M€    VE:  900 - 5 000 M€ Secteur:  Tous secteurs Zones géographiques:  Brésil    Amérique du Nord    Israël    Europe    Inde 2 (Venture (Seed), Venture (Serie A), Venture (Serie B/C), Venture) Ticket unitaire:  45 - 250 M€    VE:  100 - 600 M€ Secteur:  Internet et e-commerce    Média    Technologie    Services aux Particuliers / Entreprises Zones géographiques:  Toutes zones géographiques",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Technologie,"SILVER LAKE |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  20 - 200 M€    VE:  30 - 300 M€ Secteur:  Technologie Zones géographiques:  Asie    Europe    Etats-Unis",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Tous secteurs","NEXTSTAGE AM |  France - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 35 M€    VE:  30 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Toutes zones géographiques 2 (Minoritaire) Ticket unitaire:  1 - 4 M€    VE:  1 - 10 M€ Secteur:  Tous secteurs Zones géographiques:  France 3 (Minoritaire) Ticket unitaire:  4 - 10 M€    VE:  20 - 60 M€ Secteur:  Tous secteurs Zones géographiques:  France 4 (Venture) Ticket unitaire:  0 - 5 M€    VE:  1 - 10 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,Tous secteurs,"WATERLAND PRIVATE EQUITY |  Pays-Bas - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 500 M€    VE:  30 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Santé, Technologie, , , Services Financiers, , , , ","SUMMIT PARTNERS |  Etats-Unis - PE specialist 1 (Mezzanine, Majoritaire, Unitranche, Minoritaire) Ticket unitaire:  10 - 400 M€    VE:  80 - 1 000 M€ Secteur:  Santé    Technologie    Biens de consommation    Services aux Particuliers / Entreprises Zones géographiques:  Toutes zones géographiques 2 (Venture (Seed), Venture (Serie A), Venture (Serie B/C), Venture, Venture (Growth)) Ticket unitaire:  5 - 25 M€    VE:  5 - 80 M€ Secteur:  Services Financiers    Santé    Technologie    Biens de consommation    Services aux Particuliers / Entreprises Zones géographiques:  Toutes zones géographiques",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"FRANCISCO PARTNERS |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  40 - 200 M€    VE:  40 - 4 000 M€ Secteur:  Tous secteurs Zones géographiques:  Israël    Europe    Amérique du Nord",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Santé, Services aux Particuliers / Entreprises, , , , Santé, Services aux Particuliers / Entreprises, , , , Santé, Services aux Particuliers / Entreprises, , , ","IK PARTNERS |  Angleterre - PE specialist 1 (Majoritaire) Ticket unitaire:  100 - 300 M€    VE:  200 - 1 000 M€ Secteur:  Santé    Services aux Particuliers / Entreprises    Agroalimentaire    Biens de consommation    Industrie Zones géographiques:  France    Scandinavie    Benelux    DACH 2 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 100 M€    VE:  20 - 200 M€ Secteur:  Santé    Services aux Particuliers / Entreprises    Agroalimentaire    Biens de consommation    Industrie Zones géographiques:  Royaume-Uni    France    Scandinavie    Benelux    DACH 3 (Minoritaire) Ticket unitaire:  50 - 200 M€    VE:  100 - 1 000 M€ Secteur:  Santé    Services aux Particuliers / Entreprises    Agroalimentaire    Biens de consommation    Industrie Zones géographiques:  France    Scandinavie    Benelux    DACH",,,,,,,,,,,,,,,,,,
Canada - PE specialist,"Tous secteurs, Santé, Technologie, Santé, Technologie, , ","OMERS PRIVATE EQUITY |  Canada - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  100 - 700 M€    VE:  200 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis    Europe    Canada 2 (Venture (Seed), Venture (Serie A), Venture) Ticket unitaire:  15 - 70 M€    VE:  0 - 0 M€ Secteur:  Santé    Technologie Zones géographiques:  Etats-Unis    Europe    Canada 3 (Venture (Serie B/C), Venture (Growth)) Ticket unitaire:  20 - 100 M€    VE:  5 - 35 M€ Secteur:  Santé    Technologie    Services aux Particuliers / Entreprises    Services Financiers Zones géographiques:  Etats-Unis    Europe    Canada",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Technologie, Technologie","THOMA BRAVO |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  40 - 250 M€    VE:  200 - 800 M€ Secteur:  Technologie Zones géographiques:  Amérique du Nord 2 (Majoritaire, Minoritaire) Ticket unitaire:  350 - 800 M€    VE:  800 - 4 000 M€ Secteur:  Technologie Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
