Nom du conseil,Type de structure,Compétences,Pays siège,Bureaux répertoriés sur Arx,Site internet,Description
Ama Partners (ex Alienor Partners),Advisory Boutique,"Consultancy, M&A",France,"Angoulême, Toulouse, Marseille, Bordeaux, Paris",www.ama-partners.com,"Ama Partners (ex Alienor Partners) est un cabinet de conseil indépendant spécialisé dans les transactions financières de haut de bilan de PMEs et ETIs. Fondé en 2010, Ama Partners a réalisé avec succès plus d’une centaine de opérations de cession, 
 cquisition, levée de fonds ou réorganisation du capital, pour un montant négocié supérieur à 400 millions d’euros. Ama Partners propose aux dirigeants français et étrangers un accompagnement de proximité et un engagement tout au long de la mission. Ama Partners est membre du CNCFA et basé à Bordeaux."
Arcéane,Advisory Boutique,"Consultancy, M&A",France,"Mérignac, Nantes, Roubaix, Lyon, Aix-en-provence, Paris",www.arceane.com,"Arcéane est une société de conseil indépendante spécialisée dans les opérations de fusions et acquisitions. Elle accompagne les dirigeants d’entreprises dans leurs opérations de cession, acquisition, levée de fonds et financement. Arcéane opère depuis plusieurs bureaux en France. Arcéane est un membre indépendant de Geneva Capital Group."
Arka Finance,Bank - Corporate Finance dept,M&A,France,Paris,arka-finance.com,"Fondé en 2008, ARKA FINANCE est une banque d’affaires spécialisée dans les opérations de M&A et de levée de fonds pour les PME et ETI."
Arthur D. Little,Consulting Firm,"Due Diligence, Consultancy, M&A",France,"Milano, Amsterdam, Boston, Bruxelles, Madrid, Cambridge, Paris, München, Stockholm, Wien",www.adlittle.com,"Arthur D. Little est une société de conseil fondée en 1886 et basée à Boston. La firme possède également des bureaux dans plusieurs pays dans le monde. Sa branche Corporate Finance intervient dans les transactions de fusions & acquisitions telles que le ciblage et l'évaluation d'investissement et de désinvestissement, les évaluations d'entreprise, les restructurations et bien d'autres encore."
Arx,Advisory Boutique,M&A,France,"London, Paris, Berlin, Ambon, Marseille, Ibéria",arx.deals,"Arx Corporate Finance développe des outils avancés pour les professionnels de l’investissement et de la corporate finance: Arx CRM, Arx Database et Arx Network. La plateforme inclut une base de données pour la recherche des transactions, un CRM pour la gestion des flux et un réseau pour connecter les acteurs clés de l’industrie. Le développement de l’IA sur l’ensemble de la plateforme fait de Arx Corporate Finance un réel data leader dans le monde de la finance. "
Atfis,Advisory Boutique,M&A,France,Paris,www.atfis.com,"Atfis est une société de conseil fondée en 2006, spécialisée dans la stratégie d'entreprise et la finance d'entreprise. Elle opère dans des secteurs tels que les services publics, l'industrie numérique, l'alimentation et les boissons, les produits de consommation, les institutions financières et l'ingénierie informatique."
Aton Partners,Advisory Boutique,"Due Diligence, Consultancy, M&A, Debt Activity",France,Paris,aton.partners,"Aton Partners est une société de conseil en finance d'entreprise basée à Paris. Aton se spécialise dans les opérations de haut de bilan et accompagne les entreprises et les fonds d'investissements dans leurs projets d'acquisitions, de cessions, de financement et de restructuration. La société propose également des services de due diligence, de transformation cash et de stratégie financière."
Atout Capital,Investment Bank,"ECM, M&A, Debt Activity",France,Paris,www.atoutcapital.com,"Basée à Paris, Atout Capital est une boutique de fusion-acquisition qui accompagne les dirigeants et actionnaires de PME/ETI dans la conduite de leurs opérations financières en Europe et à l'international."
Aucteor Finance,Advisory Boutique,M&A,France,Paris,aucteor-finance.com,"Basé à Paris, Aucteor est un cabinet de conseil en fusion-acquisition intervenant principalement sur les opérations small caps. Aucteor Finance, s’adresse aux entrepreneurs (actionnaires/dirigeants), aux fonds d’investissement et investisseurs financiers (LBO, LBI, investissements minoritaires...), et aux groupes industriels ou de services, à la recherche de prestations de conseil de qualité dans le cadre d’opérations de haut de bilan."
AU Group,Consulting Firm,Consultancy,France,"Paris, Wasquehal, Nantes, Strasbourg, Lyon",au-group.com,"AU Group est un cabinet de conseil indépendant spécialisé dans la gestion de comptes clients. Il propose des services de courtage en assurance-crédit, de financement de sinistres commerciaux, de cautions, et de gestion des risques politiques. Le cabinet sert diverses industries, notamment l'énergie, la construction, les biens de luxe, l'agroalimentaire, le travail temporaire et les textiles, tant en France qu'à l'international. Ses clients incluent de grandes entreprises, des sociétés de taille moyenne et des PME. AU Group assiste ces entreprises en structurant des programmes d'assurance et de financement et en fournissant des recommandations impartiales."
Aurignac Finance,Investment Bank,M&A,France,Paris,www.aurfi.com,Aurignac Finance est une société de conseil en finance d'entreprise. La société propose des services de banque d'affaires à destination des entreprises françaises et européennes de petite et moyenne taille dont la valeur est comprise entre 5 et 150 M€.
Avicenne,Consulting Firm,Consultancy,France,Puteaux,www.avicenne.com,"Avicenne est une société de conseil en stratégie et marketing qui accompagne les entreprises multinationales, les institutions publiques et les investisseurs dans leurs prises de décision stratégiques, financières et opérationnelles."
Axonia Partners,Advisory Boutique,M&A,France,Paris,www.axonia-partners.com,"Axonia Partners est une société indépendante de services financiers qui accompagne les gestionnaires de fonds de capital-investissement, les entreprises et les entrepreneurs dans le cadre de financement d'entreprise et de fusions-acquisitions ainsi que levées de fonds de capital-investissement et transactions secondaires."
Aya Partners,Advisory Boutique,M&A,France,Paris,aya-partners.com,"Fondée en 2019, Aya Partners est une société spécialisée dans le conseil en fusions-acquisition. La société intervient sur les segments small et mid cap"
Baker Tilly Strego,Consulting Firm,M&A,France,"Angers, Paris",www.bakertillystrego.com,"Baker Tilly Strego est une société de services de conseil financier spécialisée dans la comptabilité, la fiscalité, la gestion, l'audit et la finance d'entreprise."
Banque Hottinguer,Investment Bank,"M&A, Debt Activity",France,"Lyon, Lille, Paris",www.banque-hottinguer.com,"Basée à Paris, Banque Hottinguer est une banque d’investissement spécialisée dans les fusions et acquisitions, le conseil en dette, les conseils financiers ou les transactions boursières."
Banque Populaire Occitane (BPOC),Bank - Corporate Finance dept,M&A,France,Balma,www.banquepopulaire.fr/occitane/,"La Banque Populaire Occitane est une entité régionale du groupe BPCE. La banque offre un éventail de services bancaires destinés aux particuliers, aux professionnels et aux entreprises. Elle propose notamment des solutions de financement, de gestion et d'assurance pour les activités professionnelles, ainsi que des services de banque privée, incluant la gestion de patrimoine et les conseils en investissement immobilier."
Banque Populaire Rives de Paris (BPRP),Bank - Corporate Finance dept,"Consultancy, M&A",France,Paris,www.banquepopulaire.fr,"La Banque Populaire Rives de Paris, banque coopérative et régionale du groupe BPCE, offre une gamme étendue de services bancaires destinés aux particuliers, professionnels, et entreprises. Elle met également à disposition des entreprises des solutions complètes pour la gestion de comptes et flux, le financement et l'optimisation de la trésorerie, le financement des investissements, le soutien au développement international, ainsi que la motivation et la protection des salariés."
Banque Populaire Val de France (BPVF),Bank - Corporate Finance dept,M&A,France,Montigny-le-bretonneux,www.banquepopulaire.fr/valdefrance/,"La Banque Populaire Val de France est une banque coopérative régionale faisant partie du groupe BPCE. Elle propose une gamme complète de services bancaires adaptés aux besoins des professionnels. Ses services comprennent notamment le financement des projets, la gestion et l'assurance des activités, la protection et la motivation des salariés, ainsi que la gestion de l'épargne et la préparation de la retraite. La Banque Populaire Val de France offre également un accompagnement personnalisé pour différents segments de professionnels tels que les agriculteurs, viticulteurs ou artisans."
Blue Partners Finance,Advisory Boutique,"Consultancy, M&A",France,Paris,www.bluepartnersfinance.com,"Fondée en 2016 et basée à Paris, Blue Partners Finance est cabinet de conseil M&A. Elle fournit des services de conseil en levée de fonds propres et en fusions-acquisitions. Blue Partners Finance accompagne également les PME et les ETI dans les différents stades de croissance."
BNP Paribas Corporate Finance,Bank - Corporate Finance dept,"ECM, Debt Activity, M&A",France,"Lyon, Paris, London, Bruxelles, Milano, Amsterdam",cib.bnpparibas.com,"BNP Paribas CIB est la banque d'affaires du groupe bancaire français BNP Paribas, issue de la fusion de la Banque nationale de Paris (BNP) et de Paribas. La banque de financement et d‘investissement propose des solutions sur mesure dans les domaines des marchés de capitaux, des services de titres, des financements, de la gestion de trésorerie et du conseil financier."
Bred Banque Privée,Bank - Corporate Finance dept,"Debt Activity, M&A",France,"Paris, Paris",www.bred.fr/banqueprivee,"BRED is a cooperative Banque Populaire part of BPCE Group, supported by its 200,000 members and 6.2 billion euros of equity. 

The BRED Group has 6,300 employees, 30% of which are located outside France and in French overseas collectivities, offering services in retail banking, corporate banking, private banking, asset management, securities trading, an insurance company and international banking via its subsidiaries and international trade.

It is a local bank that is committed to its territories, with a network of 475 branches, including 75 abroad. 

BRED Banque Privée draws on all the expertise and solidity of BRED to effectively support each wealth project. Its teams; private bankers;  wealth planning, Investment Banking (M&A) and real estate engineers work in synergy, providing its clients with flexible and responsive decision-making."
Business France,Consulting Firm,Consultancy,France,"London, Tokyo, Düsseldorf, Singapore, Milano, New Dehli, Paris, Madrid, Beijing, Chicago, Seoul, New York City",www.businessfrance.fr,"Business France est une structure née en 2015 de la fusion d'Ubifrance et de l’Agence française pour les investissements internationaux (AFII). Business France est notamment chargée d’aider les petites et moyennes entreprises (PME) et les entreprises de taille intermédiaire (ETI) à mieux se projeter à l’international, et d’attirer davantage d’investisseurs étrangers en France pour y créer ou y reprendre des activités créatrices d’emplois. Il s’agit d’un dispositif simplifié à la fois plus lisible pour les investisseurs étrangers et pour les entreprises françaises."
Bv Advisory,Advisory Boutique,M&A,France,Chaville,bv-adv.com,"Fondée en 2016 en France, BV Advisory est une boutique de fusions-acquisitions spécialisée dans le secteur de l'assurance, des services informatiques, de la logistique et de l'hôtellerie."
CABEX Corporate Finance,Advisory Boutique,M&A,France,Paris,https://cabex-corporate-finance.fr,"CABEX Corporate Finance est une société de conseils aux entreprises. Elle est spécialisée dans l'acquisition, cession et développement d'entreprise. Elle est une filiale du réseau d’experts-comptables indépendants CABEX."
Cabinet Bonzanini Avocats & Associés,Law Firm,Lawyer,France,Cannes,bonzanini-avocats-associes.fr,"Cabinet Bonzanini Avocats & Associés est un cabinet d'avocats fondé en 1994, spécialisé en droit des affaires, fournissant des conseils juridiques et une assistance dans des domaines tels que le droit des contrats, le droit du travail, le droit commercial et des baux commerciaux, le droit fiscal et le contentieux des affaires. Le cabinet dispose également d'une expertise dans le secteur nautique et la législation maritime. Ils desservent des clients dans la région PACA et dans toute la France."
Cabinet Montparnasse,Consulting Firm,"Consultancy, M&A",France,Paris,cabinet-montparnasse.fr,"Cabinet Montparnasse est une société de conseil aux entreprises basée à Paris, spécialisée dans la fusion et acquisition, le développement commercial, financement de projets, et le recrutement de dirigeants."
Cabinet Philippe Wittner Avocat,Law Firm,Lawyer,France,Strasbourg,,Cabinet Philippe Wittner Avocat est un groupe d'avocats spécialistes en droit du travail. 
Cairn Partners,Investment Bank,M&A,France,Paris,cairnpartners.com,"Fondée en 2016 et basée à Paris, Cairn Partners est une entreprise de conseil indépendante qui offre des conseils stratégiques, opérationnels et financiers pour des situations spéciales. Ils se spécialisent dans la restructuration financière, les situations spéciales de fusions et acquisitions et l'amélioration des performances opérationnelles, dans différents secteurs."
Calmon Partners,Consulting Firm,Consultancy,France,Paris,www.calmonpartners.com,"Basé à Paris, Calmon Partners groupe est un point de rencontre entre les services de chasseurs de têtes internationales (Calmon Partners Exécutive search), le support à la levée de fonds (Calmon Partners financial services) et l'actualité financière internationale (Calmon Partners media & Évents - Finyear.com)"
Cambon Partners,Advisory Boutique,"M&A, Debt Activity",France,"San Francisco , London, Beijing, Paris",www.cambonpartners.com,"Basé à Paris, Cambon Partners accompagne les sociétés de croissance dans l’ensemble de leurs opérations de fusions-acquisitions ou levées de fonds notamment : cession à un acquéreur stratégique, cession majoritaire ou minoritaire à un fonds de LBO ou de growth equity, levée de fonds en capital-risque ou en capital développement, refinancement ou levée de dette obligataire ou bancaire. Cambon Partners intervient dans toutes les étapes du cycle de vie de l’entreprise : venture, growth capital, LBO, M&A."
Canaccord Genuity,Investment Bank,"ECM, Consultancy, M&A, Debt Activity",France,"Calgary, New york city, Vancouver, New york city, Toronto, Perth, Montréal, Singapore, Paris, Beijing, Dubai, Melbourne, Dublin, Charlotte, Boston, San Francisco , New york city, Sydney, London, Nashville, Minneapolis, Hong kong",www.canaccordgenuity.com,"Canaccord Genuity est une banque d'investissement mondiale fondée en 1950. La banque est spécialisée en gestion de patrimoine et en conseils financiers. Dans ce cadre, Canaccord prodigue des conseils en finance d'entreprise, fusions-acquisitions, restructuration d'entreprise, conseils en dette et conseils stratégiques."
Capitalmind,Advisory Boutique,"M&A, Debt Activity",France,"Hertogenbosch, Paris, Mumbai, Wiesbaden, Zürich, Berlin, Johannesburg, Copenhagen, Hilversum",www.capitalmind.com,"CapitalMind est un cabinet de conseil financier spécialisé dans les opérations de cession, transmission, croissance et financement des entreprises small et lower mid market. Basé à Paris, CapitalMind se concentre sur les opérations transfrontalières et possède des bureaux en Allemagne, aux Pays-Bas et au Danemark."
Capstone Finance,Advisory Boutique,M&A,France,Paris,www.capstonefinance.fr,"Capstone Finance est un cabinet de conseil en finances d'entreprise basé à Paris. Elle se concentre sur l'acquisition et la vente d'entreprises ainsi que sur les levées de fonds, dans les secteurs du digital & innovation, de la santé,  et du sport & Lifestyle"
Carmine Capital,Advisory Boutique,"Consultancy, M&A",France,"Bondues, Nantes, Genève, Toulouse, Paris",www.carminecapital.com,"Carmine Capital fournit des services de conseil en fusions et acquisitions aux propriétaires de PME et de sociétés de taille moyenne. Ils offrent une expertise en matière de transferts d'entreprises, d'acquisitions / cessions, stratégie, leasing fiscal et de levées de fonds."
Carte Financement,Advisory Boutique,"Consultancy, M&A, Debt Activity",France,Paris,cartefinancement.com,"Carte Financement est une société de conseil en financement qui accompagne les dirigeants sur les problématiques de financement et d'opérations capitalistiques.
Notre équipe est composée d’anciens banquiers corporate qui mettent toute leur expertise financière au service des dirigeants pour les accompagner dans les différentes étapes clés de la vie de leurs entreprises
"
Chami & Co,Investment Bank,M&A,France,Paris,chamiandco.com,"Fondé en 2019, Chami & Co est un cabinet indépendant de conseil et de financement d'entreprises basé à Paris."
CIC Conseil,Bank - Corporate Finance dept,M&A,France,"Strasbourg, Toulouse, Bordeaux, Paris, Lyon, Marseille, Nantes, Lille",www.cic-conseil.eu,CIC Conseil est la filiale de conseil et d'ingénierie financière de la banque française CIC et est l'un des acteurs majeurs du marché français des fusions & acquisitions small et mid cap. CIC Conseil opère via plusieurs bureaux en France et repose sur le réseau bancaire de CIC.
Clairfield International,Investment Bank,"ECM, M&A, Debt Activity",France,"New york city, Bruxelles, Madrid, Zürich, Oslo, London, Atlanta, Curtiba, Ciudad De Mexico, Toronto, Copenhagen, Nantes, Genève, Amsterdam, Tel-aviv, Tokyo, Frankfurt am main, Düsseldorf, Budapest, Barcelona, Wien, Marseille, Stockholm, Montréal, Istanbul, Brisbane, Paris, Warsaw, Antwerpen, Windsor, Helsinki, Sao paulo, Bordeaux, Stuttgart, Milano, Prague, Lyon, Mumbai, Birmingham",www.clairfield.com,"Fondée en 2004 par 5 structures européennes et américaines, dont Intuitucapital en France, Clairfield est une société de financement d'entreprise qui fournit des services de conseil, principalement dans des fusion et acquisition transfrontalières, à des sociétés internationales, des entreprises familiales et des investisseurs financiers. Elle se dédie aux opérations de taille moyenne et réalise des opérations de transmission, croissance externe ou financement. Clairfield est basé en Suisse et possède des bureaux en Europe, Amérique et Asie."
Clairfield Marseille,Advisory Boutique,M&A,France,Marseille,www.clairfield.com/Team/pierre-suide/,"Ouverte en 2014, Clairfield Marseille est la branche marseillaise de Clairfield International. Elle accompagne les entreprises régionales de tailles moyennes dans leur opération de fusion et acquisition transfrontalières et leur stratégie de développement international."
Clearwater International Marseille,Investment Bank,"ECM, M&A, Debt Activity",France,Marseille,https://www.clearwatercf.com/,"Clearwater International est une banque d'affaires indépendante spécialisée dans les transactions small et midcap crossborder. 

Disposant d'un réseau de plusieurs bureaux dans le monde entier, Clearwater concoit et met en œuvre des stratégies claires sur des problématiques de fusions et acquisitions, de levées de fonds ou de financements pour des entrepreneurs, des sociétés ou des fonds d’investissements."
C-Level Partners (ex Fides Partners),Consulting Firm,Lawyer,France,"Paris, Milano",cl.partners,"C-Level Partners (ex Fides Partners) a été fondé en 2020 et est un cabinet d'avocats basé à Paris, spécialisé dans les fusions et acquisitions et le capital-investissement. Le cabinet accompagne ses clients dans l'acquisition et la vente d'entreprises ou de participations, ainsi que dans la recherche de capitaux."
Clipperton,Investment Bank,"Consultancy, M&A",France,"Berlin, Paris, Munich",www.clipperton.com,"Fondée en 2003 et basée à Paris, Clipperton est une banque d'investissement spécialisée dans les secteurs de la technologie et de l'innovation. Elle offre des services de conseil en fusions-acquisitions, levées de fonds, et financement pour les entreprises technologiques à forte croissance. Clipperton accompagne ses clients dans leurs opérations stratégiques à travers l'Europe et les États-Unis, avec une expertise particulière dans les secteurs du logiciel, du digital, et des technologies de pointe."
CMI Stratégies,Consulting Firm,Due Diligence,France,Paris,www.cmi-strategies.fr,"Fondée en 1986, CMI Stratégies est une société de conseil en stratégie basée à Paris. Elle fournit des services de conseil en fusions et acquisitions, services d'évaluation (stratégie, ESG), services de restructuration et de conseil stratégique aux entreprises, aux fonds d'investissements et aux organisations."
Compagnie Financière Du Buis,Advisory Boutique,M&A,France,Paris,ciedubuis.com,"Compagnie Financière du Buis is a financial services company specialized business valuation, M&A and financial engineering."
Concorde Groupe Vendôme (Concorde GV),Consulting Firm,"Consultancy, M&A",France,Paris,concorde-gv.fr,"Fondé en 1969, Concorde Groupe Vendôme (Concorde GV) est un cabinet de conseil spécialisé en finance d’entreprises et en audit, basé à Paris et Lyon. Par le biais de son activité conseil financier, le cabinet accompagne ses clients dans les ventes et acquisitions d'entreprises, l'évaluation, la restructuration et les levées de fonds ainsi que dans les prises de décisions stratégiques."
Conserto,Advisory Boutique,M&A,France,Montboucher-Sur-Jabron,www.conserto-fusacq.fr,"Conserto assiste les clients dans leurs projets de transfert ou d'acquisition d'entreprise pour harmoniser les vendeurs, les acheteurs et leurs conseillers respectifs."
Consultenz,Advisory Boutique,"ECM, Consultancy, M&A",France,Lyon,consultenz.fr,"Consultenz est une société de conseil financier basée à Lyon, en France. Elle possède une expertise particulière dans les domaines des fusions et acquisitions (achat et vente d’entreprise en France et à l’international), de la finance d’entreprise (levée de fonds, mise en place d’outils de financement, négociations bancaires), de la stratégie d’entreprises et dans les conseils en ressources humaines (recrutement, évaluation, coaching). Consultenz dessert principalement les entreprises de transport et logistique et du BTP."
Crédit Agricole Midcap Advisors (Ex Sodica),Bank - Corporate Finance dept,"ECM, M&A",France,"Mérignac, Strasbourg, Dijon, Lyon, Toulouse, Montrouge, Paris, Lille",www.ca-midcap-advisors.com,"Filiale de la banque française Crédit Agricole, Crédit Agricole Midcap Advisors (Ex Sodica) est une société de conseil en fusions-acquisitions spécialisée dans le small et mid-market. Elle propose également des services de conseil en equity capital market et en investissement immobilier. Basée à Paris, CA Midcap est présente au niveau régional avec des bureaux à Bordeaux, Dijon, Lille, Lyon, Toulouse."
Crédit du Nord Corporate Finance,Bank - Corporate Finance dept,M&A,France,Paris,corporatefinance.groupe-credit-du-nord.fr,"Filiale du groupe bancaire Crédit du Nord, Crédit du Nord Corporate Finance offre des expertises en Conseil à la cession, Conseil à l'acquisition et Levée de fonds, afin d'accompagner ses clients sur des problématiques de Financement de la croissance, de Transmission d'entreprise et d'Optimisation du patrimoine professionnel des dirigeants. Basée à Paris, Crédit du Nord Corporate Finance dispose d'une couverture nationale grâce à ses 8 banques régionales."
Crescendo finance,Advisory Boutique,"Consultancy, M&A",France,Paris,www.crescendo-finance.com,"Fondée en 2013 et basée à Paris, Crescendo finance est une banque d'affaires et d'investissement spécialisée en Fusions & Acquisitions et Levée de fonds. Elle fournit des services de conseils en cession/acquisition d'entreprises, fonds de commerce, fusion, spin-off, LBO, OBO, MBO pour des small caps."
Croissance Partenaires,Investment Bank,"Consultancy, M&A",France,Paris,www.croissancepartenaires.com,"Fondée en 2005, Croissance Partenaires est une banque d’affaires dédiée aux missions de conseil en fusion-acquisition et corporate finance, et a une forte expertise sur le segment du small & mid market. Croissance Partenaires intervient auprès d’une clientèle diversifiée en termes de secteurs d’activité, composée principalement de PME et d’ETI, qu’elle conseille dans la préparation et l’exécution de leurs opérations financières stratégiques. Basée à Paris, Croissance Partenaires est la filiale du cabinet d'expertise comptable français Cogep."
Crowe RSA Corporate Finance,Accountant,Consultancy,France,Paris,www.crowe-rsa.fr,"Basé à Paris, Crowe RSA Corporate Finance est une société spécialisée en conseil en fusions acquisitions et financement."
DC Conseils,Consulting Firm,Consultancy,France,Orléans,dc-conseils.com,DC Conseils est une société de conseils et de services aux entreprises.
Deomenos,Investment Bank,"Consultancy, M&A",France,Paris,deomenos.com,"Fondé en 2006, Deomenos est un cabinet de conseil en finance d'entreprise basé à Paris. Le cabinet accompagne ses clients dans la prise de décision et la mise en œuvre de la stratégie de croissance de leurs entreprises ainsi que dans les opérations M&A."
DGCM,Advisory Boutique,,France,Lyon,www.transmissionsentreprises.fr,"Fondé en 2008 à Lyon, DGCM est un cabinet de transmission qui se spécialise dans les cessions d’entreprises, les croissances externes, les reprises, et les levées de fonds."
D'Ornano + Co (ex D'Ornano et Associés),Consulting Firm,"Due Diligence, M&A",France,"New  York City, Paris",dornanoandco.com,"D’Ornano et Associés est un cabinet de conseil financier et juridique indépendant dont le cœur de métier est la due diligence comptable, financière et juridique. Le cabinet propose une approche pluridisciplinaire unique et de haut niveau permettant un accompagnement de ses clients tout au long de leurs décisions stratégiques. Le cabinet accompagne les dirigeants et/ou les actionnaires de PME ainsi que les banques et les investisseurs potentiels dans leurs décisions en matière de : due-diligence financières, juridiques, fiscales et sociales (côté acheteur ou vendeur), intégration « post-deal », restructuration/sous-performance, et levée de fonds."
